LSC_R
1912,1557,1365,1221,1198,1151,1176,1132,1132,1176,1223,1302,1333,1508,1650,1956,2833,
1711,1475,1274,1197,1132,1114,1076,1076,1115,1156,1156,1224,1302,1396,1556,1827,2612,
1611,1364,1173,1109,1055,1061,1062,1098,1098,1098,1180,1200,1223,1361,1509,1648,2374,
1522,1303,1152,1092,1040,1027,1048,1049,1084,1083,1138,1180,1223,1247,1396,1649,2178,
1476,1274,1109,1055,1027,1048,1015,1035,1035,1047,1121,1137,1200,1274,1333,1593,2058,
1401,1221,1069,1040,1027,1016,1036,1036,1036,1068,1083,1138,1200,1274,1361,1508,1956,
1335,1173,1069,1040,995,1015,1004,1024,1024,1036,1103,1121,1180,1224,1302,1508,1826,
1274,1173,1069,1040,996,1015,1004,1024,1024,1036,1103,1121,1180,1224,1302,1433,1712,
1303,1173,1069,1040,1027,1015,1036,1024,1036,1068,1103,1161,1225,1224,1302,1508,1751,
1274,1173,1069,1076,1027,1049,1035,1036,1036,1068,1120,1138,1200,1224,1361,1508,1648,
1335,1221,1069,1055,1061,1083,1047,1068,1103,1083,1121,1180,1200,1274,1333,1509,1712,
1401,1220,1108,1092,1040,1061,1083,1084,1084,1121,1137,1200,1223,1247,1332,1509,1826,
1474,1245,1152,1109,1114,1098,1098,1098,1137,1137,1180,1249,1223,1302,1395,1557,1827,
1522,1303,1221,1108,1132,1114,1115,1115,1156,1156,1200,1224,1247,1333,1508,1558,1827,
1611,1401,1274,1152,1152,1132,1133,1132,1132,1176,1223,1247,1301,1395,1475,1712,1785,
1673,1558,1364,1221,1173,1151,1152,1151,1198,1198,1248,1301,1395,1433,1558,1711,1912,
1783,1612,1475,1364,1274,1221,1173,1247,1247,1222,1274,1332,1364,1475,1612,1783,2008

LSC_G
2263,1802,1645,1519,1415,1336,1293,1260,1260,1293,1328,1375,1472,1645,1877,2201,3413,
2201,1732,1570,1458,1328,1254,1194,1194,1194,1194,1254,1293,1375,1519,1732,2001,2998,
2096,1706,1472,1336,1260,1190,1163,1137,1137,1137,1190,1223,1328,1415,1588,1958,2798,
2001,1588,1458,1293,1194,1137,1111,1088,1088,1111,1113,1190,1260,1336,1519,1802,2624,
1877,1570,1375,1260,1190,1111,1065,1064,1064,1065,1111,1137,1223,1328,1472,1706,2389,
1802,1519,1336,1223,1163,1088,1044,1024,1024,1044,1065,1113,1194,1293,1458,1645,2201,
1732,1472,1336,1223,1137,1065,1024,1024,1024,1024,1064,1111,1190,1293,1415,1645,2096,
1732,1472,1336,1223,1113,1065,1024,1024,1024,1024,1064,1111,1190,1293,1415,1588,2001,
1706,1472,1336,1223,1137,1065,1044,1024,1024,1044,1064,1111,1190,1293,1415,1645,1958,
1732,1472,1336,1254,1137,1088,1064,1024,1024,1044,1065,1113,1194,1293,1458,1645,1958,
1732,1519,1375,1260,1190,1111,1065,1064,1064,1065,1111,1163,1223,1328,1472,1706,2001,
1802,1570,1415,1293,1194,1137,1111,1088,1088,1111,1137,1194,1260,1336,1519,1706,2096,
1958,1588,1458,1336,1254,1190,1137,1137,1137,1137,1190,1254,1328,1415,1570,1802,2201,
2001,1706,1519,1415,1328,1254,1194,1194,1194,1194,1254,1293,1336,1472,1645,1877,2201,
2096,1802,1570,1458,1375,1328,1293,1260,1260,1293,1328,1375,1458,1570,1732,2001,2389,
2263,1877,1706,1519,1472,1415,1375,1336,1375,1375,1415,1458,1570,1706,1877,2096,2529,
2263,2001,1802,1706,1570,1519,1472,1458,1458,1472,1519,1570,1706,1802,2001,2263,2798

LSC_B
1081,1133,1043,969,906,838,855,927,927,855,926,908,969,1043,1133,1245,1543,
1107,1132,1066,907,855,945,946,946,946,946,945,927,990,1065,1132,1245,1356,
1105,1041,969,907,927,965,965,891,965,965,1053,1032,1010,989,1042,1273,1355,
1106,948,907,927,946,891,985,985,985,985,965,1053,1011,989,1065,1133,1356,
1019,969,908,855,965,909,984,1004,1004,984,985,1053,1032,1010,969,1041,1215,
1019,969,838,873,890,985,1004,1096,1096,1095,1073,965,1032,1010,990,1043,1245,
1018,969,838,873,891,984,1004,1024,1024,1096,1094,985,1053,1010,989,1043,1105,
1018,888,838,873,891,984,1004,1024,1024,1096,1094,985,1053,1010,989,1042,1106,
1041,888,838,873,891,984,1004,1024,1096,1095,1094,985,1053,1010,989,1043,1132,
1018,888,838,873,891,910,1004,1096,1096,1095,1073,1053,1032,1010,990,1043,1132,
1018,969,838,855,890,909,984,1004,1094,1073,985,1053,1032,1010,969,1041,1106,
1019,969,906,855,946,891,985,985,985,985,965,1032,1011,989,1065,1041,1105,
1132,948,907,838,873,965,965,965,965,965,1053,1032,1010,989,1066,1019,1245,
1106,948,969,906,855,945,946,946,946,946,945,927,907,969,1043,1133,1245,
1105,1019,969,907,838,855,855,927,927,927,926,908,990,969,1018,1106,1080,
1081,1019,948,969,888,906,838,838,838,908,906,990,969,1041,1019,1105,1215,
1081,997,1019,948,969,887,888,907,907,888,969,969,948,1019,1106,1081,1186

color_shading_R
865,885,850,823,867,882,931,920,920,931,943,970,927,939,900,910,850,
796,872,831,841,873,910,923,923,956,991,944,969,970,941,920,935,892,
787,819,816,850,857,913,935,989,989,989,1015,1005,943,985,973,862,869,
779,840,809,865,892,925,966,987,1020,998,1047,1015,994,956,941,937,850,
805,831,826,857,884,966,976,996,996,1007,1033,1024,1005,982,927,956,882,
796,823,819,871,904,956,1016,1036,1036,1048,1041,1047,1029,1009,956,939,910,
789,816,819,871,896,976,1004,1024,1024,1036,1062,1033,1015,969,942,939,892,
753,816,819,871,916,976,1004,1024,1024,1036,1062,1033,1015,969,942,924,876,
782,816,819,871,925,976,1016,1024,1036,1048,1062,1070,1054,969,942,939,916,
753,816,819,879,925,987,996,1036,1036,1048,1077,1047,1029,969,956,939,862,
789,823,796,857,913,998,1007,1028,1062,1041,1033,1039,1005,982,927,906,876,
796,796,802,865,892,956,998,1020,1020,1033,1024,1029,994,956,898,906,892,
771,803,809,850,910,945,989,989,1024,1024,1015,1020,943,942,910,885,850,
779,782,823,802,873,910,956,956,991,991,980,969,956,927,939,850,850,
787,796,831,809,858,873,897,920,920,931,943,929,914,910,872,876,765,
757,850,819,823,816,833,858,882,892,892,903,914,910,860,850,836,774,
807,825,838,819,831,823,816,876,876,850,859,869,819,838,825,807,735

color_shading_G
1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,
1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,
1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,
1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,
1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,
1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,
1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,
1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,
1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,
1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,
1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,
1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,
1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,
1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,
1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,
1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,
1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024,1024

color_shading_B
489,644,649,653,656,642,677,753,753,677,714,676,674,649,618,579,463,
515,669,695,637,659,772,811,811,811,811,772,734,737,718,669,637,463,
540,625,674,695,753,830,850,802,869,869,906,864,779,716,672,666,496,
566,611,637,734,811,802,908,927,927,908,888,906,822,758,718,644,529,
556,632,676,695,830,838,946,966,966,946,908,948,864,779,674,625,521,
579,653,642,731,784,927,985,1096,1096,1074,1032,888,885,800,695,649,579,
602,674,642,731,802,946,1004,1024,1024,1096,1053,908,906,800,716,649,540,
602,618,642,731,820,946,1004,1024,1024,1096,1053,908,906,800,716,672,566,
625,618,642,731,802,946,985,1024,1096,1074,1053,908,906,800,716,649,592,
602,618,642,713,802,856,966,1096,1096,1074,1032,969,885,800,695,649,592,
602,653,624,695,766,838,946,966,1053,1032,908,927,864,779,674,625,566,
579,632,656,677,811,802,908,927,927,908,869,885,822,758,718,625,540,
592,611,637,642,713,830,869,869,869,869,906,843,779,716,695,579,579,
566,569,653,656,659,772,811,811,811,811,772,734,695,674,649,618,579,
540,579,632,637,624,659,677,753,753,734,714,676,695,632,602,566,463,
489,556,569,653,618,656,624,642,624,676,656,695,632,625,556,540,492,
489,510,579,569,632,598,618,637,637,618,653,632,569,579,566,489,434

luma_shading_R
2263,1802,1645,1519,1415,1336,1293,1260,1260,1293,1328,1375,1472,1645,1877,2201,3413,
